id,rfid,corr
2714,"815443801",7
2716,"815443823",6
2720,"815443832",8
2721,"0815443975",8
2722,"815443864",5
2723,"815443865",5
2724,"0815444001",7
2727,"0815444045",7
2729,"815443863",7
2730,"0815443977",6
2731,"815443824",6
2733,"815443831",8
2742,"815443807",7
2743,"0815443979",8
2746,"815443816",6
2748,"0815443994",6
2749,"815443819",5
2752,"815443826",7
2753,"0815444002",7
2756,"0815443980",7
2758,"0815443983",17
2763,"0815443970",7
2764,"0815443988",8
2766,"0815443992",7
2767,"0815443976",17
2774,"815443861",7
2779,"815443835",6
2781,"0815443995",5
2783,"0815443993",6
2784,"0815443996",7
2787,"0815443972",7
2794,"815443854",13
2795,"0815443990",7
2797,"0815444000",5
2805,"815443847",6
2811,"0814921328",6
2814,"0815444014",5
2819,"815443841",11
2820,"0815444020",7
2827,"815443848",5
2828,"0815444027",6
2829,"0815444023",7
2832,"815443837",7
2839,"0815444024",6
2844,"0815444033",6
2850,"0815444019",5
2855,"815443872",6
2866,"815443881",8
2870,"0815444021",6
2875,"815443855",8
2884,"815443858",8
2886,"815443853",6
2887,"0815444016",7
2888,"0815443880",5
2892,"815443843",6
2895,"0815444017",6
2896,"0815444030",7
2899,"815443877",6
2901,"0815444052",6
2904,"0815444137",5
2906,"0815444050",6
2908,"0815444044",12
2910,"815443926",7
2912,"0815444058",6
2913,"0815444056",11
2917,"815443840",11
2918,"815443905",5
2919,"815443901",7
2920,"815443925",6
2921,"815443912",5
2922,"0815444072",6
2923,"815443888",6
2927,"815443915",6
2933,"0815444013",5
2940,"815443924",6
2943,"815443894",14
2944,"815443899",5
2945,"0815444122",12
2946,"0815444124",7
2948,"815443914",6
2951,"0815444070",6
2953,"0815444127",6
2955,"0815444049",6
2957,"0815444077",6
2958,"0815444136",6
2959,"0815444117",6
2961,"0815444069",6
2962,"815443927",6
2964,"815443904",5
2965,"815443933",7
2966,"815443887",6
2967,"0815444130",7
2968,"0815444057",5
2971,"815443898",6
2973,"815443913",6
2975,"815443922",6
2976,"0815444068",6
2978,"0815444119",6
2984,"0815444078",6
2987,"0815444066",6
2988,"815443935",6
2991,"0815444074",6
2992,"0815444088",5
2993,"0815444060",7
2997,"815443932",6
2998,"0815444118",8
2999,"0815444067",6
3002,"815443920",5
3003,"0815444079",13
3004,"815443903",5
3006,"815443930",5
3007,"0815444062",5
3009,"0815444063",5
3011,"815443909",5
3012,"0815444126",6
3015,"815443929",6
3016,"815443921",5
3018,"0815444059",13
3019,"0815444071",5
3020,"815443907",6
3022,"815443896",6
3023,"0815444061",6
3031,"0815444114",6
3033,"0815444073",5
3035,"0815444106",5
3039,"0815444100",5
3040,"0815444141",14
3042,"0815444093",6
3047,"0815444090",14
3050,"815443902",5
3051,"0815444128",5
3055,"0815444081",6
3057,"815443966",5
3058,"0815444087",6
3059,"0815444099",5
3060,"0815444111",14
3061,"0815444107",6
3062,"0815444096",5
3065,"0815444112",14
3067,"10943024",17
3069,"0815444089",5
3070,"0815444140",5
3074,"0815444098",5
3077,"0815646328",13
3079,"815443916",5
3080,"0815444109",5
3083,"0815444083",6
3084,"10943130",17
3085,"815443917",6
3087,"0815444092",5
3088,"815443936",14
3090,"0815444097",5
3093,"0815444095",5
3096,"0815444110",14
3097,"0815444103",5
3102,"815443941",5
3103,"0815443940",14
3104,"815443945",5
3107,"815443944",5
3111,"815443937",5
3115,"815443954",5
3119,"0815443955",5
3125,"815443952",14
3126,"815443957",14
3128,"0815443949",14
3129,"815443960",14
3234,"10942639",12
3245,"10823700",1
3257,"10823662",50
3266,"11145457",2
3278,"10823656",17
3285,"10942663",17
3300,"10823781",17
3334,"10942588",17
3340,"0810942689",17
3359,"10943158",17
3367,"10942598",17
3370,"10942643",15
3374,"10942629",17
3375,"10943044",20
3402,"10942889",14
3419,"10943119",17
3428,"10942572",12
3459,"10823782",17
3470,"10943107",17
3477,"10823905",15
3482,"10943229",17
3491,"10943109",15
30750,"0815444139",5
30780,"815443918",7
